Destination Port,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Subflow Fwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min
-18258.644925467517,10551531.632229038,-1505.1426256362893,-1405.5382674433622,314.55965791689385,81.07022881326142,56.94016066023927,118.05374298584931,660.905498370642,-17.798827497022017,1187.0188502841038,-1904.320018160724,40587773.443191916,439301.9670001743,2783674.6062657395,13345048.56521309,-20730260.19657912,2558051.9571458264,57720612.76931716,4497376.433929654,-1440990.3691122746,-16369191.263551624,-12194990.798938747,-36277950.24297562,14327984.882365458,-8364237.163834333,11905982.16840167,10405288.600772979,24988242.64922741,-969443.2830983954,202249.35050824113,6301.819629966268,10.427223475209725,456.51647566126087,-342.31732807253763,133.0192413551893,-1502188.3980574897,0.007391634997982108,0.2301124598173746,0.5693004091686431,-164.64641791569912,9887.992984245548,-23827.2387024308,1924.2078342398465,-1596.022870592149,2194320.617723841,-111534.76137697023,-608284.8251228041,411551.1912793524,-78652604.48804924,-16656284.795048214,-7273006.29492346
-17823.640318868504,12526305.614199601,-1397.1117795272846,-2190.529057548588,312.9345231767938,81.50834208392092,62.53924249078964,96.2022290391291,719.0513045177004,-13.198052710618938,1096.1673198115914,-1847.0121505931133,41611263.02590107,428148.9340622704,2852327.8262296533,14013558.82375266,-19477910.43116974,2545085.043585676,57761554.34998001,3484806.5041901967,-1060760.4081624057,-17362803.366526984,-12290847.395176267,-38363805.69807228,15041622.80481531,-8529872.616158977,10562934.961872634,10869408.815996211,25652420.97509715,-1100760.4919972152,197720.239347638,11139.119152701343,12.55016289379596,193.65445068998588,-335.23341373276116,89.38474395618894,-1403101.57501698,0.008076873065521694,0.2294648187120477,0.5423308938535739,-178.36796828749877,8877.551706406073,-21937.6240705946,1686.6647345232286,-1587.4425325319294,2180470.0246106307,-82793.67513307523,-632633.6716462319,483991.0879925868,-79800518.45684281,-17282099.841602225,-7658212.277023831
-17638.19617516651,8143768.401926778,-1105.4352952823,3044.6952091334915,907.63674602575,3.3745946275338348,203.54907278906552,-408.4301885644702,2250.7556760354014,50.38779264295908,950.8677533791158,1153.4694184516932,16432529.874291183,-108554.59123870023,10490648.119347058,11687029.493496248,43231368.33497803,-2498124.7059452664,75632217.61772954,-12686881.408166604,17939159.623496242,-41549709.135115646,-7277842.364693886,44445296.87270038,-26203190.07323094,6469489.344712809,3226547.9214569503,-2796060.7783982055,-25648984.568851743,-78492.39020160625,152433.51717387603,46105.88976463845,-33.98570879385649,-408.0524795699414,482.4440311720171,621.4044454571315,2816186.7847317597,0.2726082174046881,0.9757140696692228,-0.09199037485976719,-121.25312880618398,28432.789511468738,14137.838070271484,-12871.447233735722,1090.4696690043043,105946.33930099351,-10171.577013508795,820228.2179231149,295026.17843614426,-34356780.58062707,-9456615.282786217,6326706.429350058
-18382.36853848799,6890134.820464799,-1063.9448012333255,3592.253745607727,906.5830324717413,3.6073528725395043,206.52561419863173,-406.3374629493685,2269.4655233283906,53.011285320194425,937.5995732990909,1147.9514582339257,15997004.549304588,-114348.18584046612,10411797.560157267,11536231.798392776,44679991.826318435,-2427994.9485445926,74178343.10606572,-12814904.899445549,17780181.908208806,-40963334.433489196,-7554255.506614488,45243483.74716038,-26258796.506239828,6591733.175252489,3419122.147097795,-2853432.7986975242,-25470348.865389682,-63508.10473627704,148208.43526494218,46370.054691939666,-33.303059511891234,-447.98910612593204,488.98603968939904,630.1865642753568,2798831.120175504,0.26872497911700954,0.9435820165133566,-0.08882822838600896,-107.31988272162292,28310.559907073133,13832.010630658435,-12859.853186240967,1085.6263211244716,113886.44059037973,-2657.06154771983,905825.59465325,295619.29326402594,-33053848.276860606,-9649152.572706174,7454851.611471558
-17404.267406373605,12595855.726652637,-1435.9210283079933,-813.0072405071364,353.2428035466364,71.0375947521112,61.44552896645659,109.76387874986595,733.3386241605454,-17.801800806717182,1165.8411353662862,-1854.0684231865785,41529986.50630026,431983.8204834757,2926258.633862404,14570450.426537117,-20642863.415478714,2407311.955255856,52803979.56732219,4348700.962991202,-1474768.496120695,-17784241.805394545,-12297914.49217423,-38375689.57111955,14643212.01843937,-9373766.685344078,10726130.931410791,9748137.40945261,23688545.25847124,-810597.8503724221,219289.23048765253,11139.15318691679,12.400818963285811,390.48425666448725,-319.119071131308,87.25678710617899,-1535038.2698134189,0.02990090926322027,0.21011911052181112,0.5446438714300901,-201.5007270802117,8568.580219384825,-23779.592528786026,2188.5807739304546,-1661.526760640262,2235719.1197569915,-89898.89013433845,-815681.1288041398,446426.1336406508,-80885105.76213068,-17076015.440265346,-7954504.07789254
-17106.09845750049,7650102.446535952,-1121.4898348248369,3069.1044691979077,911.8455495728915,4.907380826303315,201.00797394977238,-416.7814491649658,2326.057011099527,52.877835583958095,938.7113976933463,1143.1905588023167,16428389.13061108,-110490.53621923891,10389589.044383489,11780252.025851201,44073019.61241661,-2403698.259431955,75530359.02507362,-12847025.982928762,17765156.67290899,-40606362.62336148,-7694943.135092093,44635327.83506662,-26146070.954192996,6562295.466938616,3077445.4554144894,-2824644.9511927087,-25844979.46138995,-119732.59091992652,145409.27692664717,46623.11085053733,-33.299227096691666,-448.4419748075236,483.42184429717474,621.7039478147373,2814042.2886241437,0.2679600335677287,0.977017509233985,-0.09099270412549848,-124.48024051241603,28323.46504016976,13130.717702481263,-12770.54952509033,1089.5586382951435,115445.50704434952,-6403.833404226229,842144.1388923057,298116.00082276313,-34228067.14086005,-9755260.806081057,6574083.541005343
-18169.48718675195,10072357.708450418,-1399.2776484851531,-942.1921711822947,346.91191674448135,79.76861935937836,70.51691345859923,93.4824931610412,585.606691577564,-15.74223454783337,1101.6991167371846,-1854.3162314350598,41356439.13160983,410653.013841316,3065996.4270819966,14745701.395616733,-19887860.6752496,2691966.733790616,55577490.70528851,4069245.2199502243,-1636694.3354834793,-16243170.978745276,-11796232.551972236,-36577477.13540687,14829328.109247005,-8966289.595279554,11869498.299981028,10240870.762335772,23157764.66821696,-985504.7859788397,204716.60023703208,10835.699921030222,12.481245295752304,403.596897832693,-330.95361915375145,164.84607724290015,-1548379.718701668,0.010897424658193745,0.22391650070199304,0.5197919113899024,-167.8155611159688,9613.603389393465,-22912.984339437156,2381.5053221111516,-1662.235351093889,2229104.0911899875,-87750.08842255994,-762961.1322415362,491619.02152176184,-77002761.46704723,-15532223.53896632,-7298304.227754572
-17943.407698578183,12990487.76650697,-1409.4210102633465,-1589.1262954901015,371.4679543146277,80.19378814750075,72.32517651072081,101.94520834152667,426.8475493006172,-11.196152248975679,1080.6580784098207,-1792.102941535038,42390308.81904908,421366.64113687625,2850333.455677773,14575113.966439866,-19642092.509924226,2284996.6761886794,58292385.72651088,3327989.9984480077,-896873.3398821419,-16426227.177959906,-11474996.953922937,-38720795.96743314,14861202.583582278,-8874161.356616925,11277327.90503229,9794409.491943274,25154419.648359947,-1056531.785567788,223526.81324448215,5554.485354621748,14.698459806712489,211.4735820121192,-320.3167289054975,77.91016935108632,-1356562.1544757495,0.006777146258091511,0.22580306071075507,0.5403077339359255,-176.77899944421753,9889.408827490868,-22525.916129117755,1793.6655437540887,-1654.29287605824,2179712.003163925,-28938.22136720603,-845220.0312493329,502831.33082006424,-79452105.19969662,-17011823.198749606,-6138269.4003724195
-20619.648900872187,13365719.794092018,-1435.1161674859445,-2535.165913294243,356.4450252292212,76.6044220126166,63.48254685023223,131.2874962027919,487.03370557158087,-12.37303956379288,1139.7121104310693,-1803.6305130008222,41840469.05127853,414158.5143143528,3017421.8254188546,13724824.634998329,-17712623.838583954,2726953.2804410867,61254548.563399576,2931025.583276161,-1457956.2539973538,-19801615.380047463,-13207920.831758106,-39654866.88350643,14082647.631176285,-8825990.312813763,10506670.29432948,10467464.930924492,23671727.609199446,-879825.8496548486,209919.72787958122,9240.409798793336,11.163600628437468,455.8573256158912,-345.7694288525041,132.19905095792745,-1473022.6498668012,0.01727688088587271,0.19738482869148746,0.5082786914537449,-181.652581611749,8878.16711010585,-22444.453399020542,2941.7102168135743,-1660.2110809856135,2206760.499251475,-66737.72147857533,-696509.8107894927,447803.8857290308,-81539307.42548272,-13565607.434591975,-8168010.929106785
-19252.81408018325,13073703.934116164,-1409.4077567879172,-1430.256629161512,333.948188580077,77.56028855940153,48.6961097144748,84.68610913110504,496.58150115668013,-15.585907125805136,1125.5958073680695,-1821.6470456581196,41260371.34463014,429365.3559454456,2563277.3771144957,14653254.63008642,-17846689.416419327,2610390.2611172735,56445477.21109655,4243454.290170006,-913672.2054248797,-19508057.95427961,-11793061.917515311,-36051326.851912975,13925297.839792514,-8795418.059137711,9492850.126013467,9570168.885663856,25123362.052435853,-888521.5652656852,233720.71732871968,8035.993082604781,12.263857094003436,511.1945712012756,-364.2896591605311,101.52373230135879,-1386755.3198539368,0.015705194875037354,0.23494403821600676,0.5623058107139205,-182.54959465486255,9083.207198180933,-22836.169818660637,1241.3626174457186,-1683.4752391937975,2177767.8719095746,-98921.09150604521,-828317.0395051622,416596.4836488368,-79902212.81501874,-17841967.795131497,-8390427.254935468
