Destination Port,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Subflow Fwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min
-18444.972876157506,13358495.576757109,-1385.3123467209061,-797.3057104263746,333.55031193907246,76.35319719594328,46.05444165151485,109.69011841068453,608.8634953448459,-11.747509402573712,1129.419655329644,-1884.5199615591637,43752756.425199635,424780.46038708725,3041959.2945674406,14469937.027764708,-18870535.91638366,2530503.493665971,58243697.44971232,3412365.6482578972,-1260957.8758025188,-15881256.488264577,-11352498.415973045,-36856277.626194954,15053546.22168516,-8683585.213679435,10421245.71704153,11120569.984107612,24977598.14318094,-950471.9323893979,209934.12962413623,10603.606167282218,11.183508255171274,417.3279868576883,-317.121726695242,145.22717180233857,-1470331.5652259141,0.02413758900573757,0.22619450409129432,0.5134931829898091,-218.4039779392759,9595.681811166434,-21962.36293381398,2014.0446557605187,-1652.4093018296142,2161655.588256557,-73679.39482585386,-719395.0486072752,447116.18331019906,-78222131.09240754,-15924100.675040804,-6602851.99043775
-29738.92911081756,7160683.059083724,1211.5749510862106,3504.4255823010953,656.1280867049041,126.87924858368845,-36.84072432757296,221.96523742532054,-157.51335274336714,150.9568204342068,-240.0168470341976,1925.9959027779641,-11848680.237762077,-1132.950069501625,9233148.979437418,1213931.7330851986,55110750.841871805,1986885.5919257295,49644239.070226476,5705650.0471586995,1517702.332188475,30803354.1844446,6000982.253299862,26307308.64987099,8806895.286896508,16789903.928497322,7578037.355041111,11850523.763182007,-7036827.779346298,-1578058.6614688307,-126824.45068769899,-28194.14234203207,19.204980414352086,1430.997859785289,73.94549558691224,436.7835038589213,3283124.2314229454,0.11643939648944651,-0.2050709115985599,0.9618591854027416,769.2358932779033,10540.263583404752,666.6271227229136,11175.829512832792,566.8522745888625,128002.68914934492,-1590.7812386936275,907553.7232736644,1162956.7334583902,51334533.65317227,49818097.713931456,-3978580.2660162933
-18860.655371361107,12813342.149548225,-1382.8212610517498,-684.0945846685645,313.7581468390907,77.81325861903693,47.5702652288012,86.93138443273574,553.0994993920641,-13.575637717863493,1097.3870338025708,-1876.9070327555005,42517622.69532953,438890.9040704604,3072631.0614112923,14085316.9671912,-17400502.99195434,2330342.9329312043,57252763.290280394,3351882.207589782,-1065599.25176436,-16685841.449390022,-12256175.896066738,-37255829.94613031,14227742.092593065,-8800804.551320119,9732254.325639714,10448864.743963825,23211626.900612324,-1025215.8302534001,215552.5295568386,8867.236220684528,10.55956481980838,176.8597525992841,-366.980143860883,168.32542564193534,-1449634.68164318,0.019342710018289584,0.21657756680069162,0.5513914244802314,-171.19370996261628,9396.284072471522,-20867.33481921135,1683.8023819653795,-1659.7359810477126,2206317.137302083,-75773.93267405253,-710322.3736652196,483260.83387477585,-81101259.15575732,-17372662.405827068,-5857237.097349819
-29262.874489629154,7310448.482197972,1236.9895466252055,3303.913133548449,638.6464970481602,126.31773249783473,-35.53697071644882,226.67100947264555,-108.81743956797106,149.671466554579,-238.97616951318975,1955.9401820144678,-12090095.711697873,-10552.70230018982,9293661.24526798,1290470.5809800397,55152138.91713841,2005063.8936350872,49097214.50357002,5902174.277017213,1462870.7186444364,29950927.518730596,5983267.952071316,25182427.212632116,8719289.257686961,16511630.262351668,7281547.735756197,11807454.461957471,-7020089.609969881,-1595826.8973153913,-134514.13446859238,-27455.417304698523,19.069954819341746,1499.0887767733964,65.38533842887982,401.3732151752825,3315066.6796528297,0.11758110352873552,-0.2064044684217607,0.9525052033350052,763.0265962379807,10554.938715500677,455.90357418340864,11038.99969186428,568.5891654793058,85540.70040755658,-20995.82505646073,910770.8737903069,1159649.47044599,49572363.08999105,49034681.27598655,-4612048.086635355
-18361.5167279121,11548510.34919512,-1387.1579255932704,-2377.5229170885887,364.550397163039,78.31233357654816,46.138495137368224,99.86201676940617,665.4875941208011,-12.18495912416897,1097.9830073682972,-1812.7776313837635,42462166.79061764,422994.23942034866,2812850.1505396375,13857493.543992003,-18986355.07391219,2363556.153353363,59280586.06019979,3417437.4345564614,-958857.3740974674,-16172192.692531882,-12481738.163942179,-37857200.96832532,14764634.928965673,-8494574.474911256,12561184.362454271,11077849.164177474,24645568.017263122,-996019.3187330747,205316.37404479165,10162.293244918568,14.222102515811663,472.51878073736873,-319.54193257002595,96.31446885492974,-1464789.4317686395,0.01602489680465116,0.25690506935962726,0.5572767303618257,-188.8717113752874,9662.768113758168,-22364.439527175095,1828.7443841199463,-1605.305868075131,2150039.296082298,-109946.37231880311,-717429.3203937068,480805.26828019036,-81093836.36608249,-17953753.695973847,-9642732.529964497
-19454.75395349517,13401372.132438779,-1391.2890935554349,-968.5046113389574,338.2888882768667,76.2502630823405,60.2630136307994,116.87904818384021,627.14784622608,-9.789406968062373,1139.2649606054442,-1836.8644889117909,42985041.78635929,434527.0357102749,3044438.286098551,14074249.29831172,-18659354.722313747,2493424.348470622,58509514.96005582,2880693.1361379703,-2182350.855708152,-15872633.108328843,-11728222.016288582,-38787852.59391958,13579177.743869513,-9097539.832257016,10612845.490832593,10695415.165982582,24487045.62929351,-865552.5120861235,210830.3765184646,9283.195349880585,12.832975710488515,282.83155768680024,-359.31678650672734,135.064883832065,-1585610.9115062505,0.0213759978190561,0.16502319539956486,0.5664116831530068,-204.24437864378118,9337.279115631574,-22135.903599682668,1553.3609162452822,-1690.5830334916996,2126704.12223952,-36520.532582112166,-830366.5603232944,474915.5367213123,-80829453.99663977,-15922408.926497824,-7547939.812479118
-19326.807207965674,10510036.712241989,-1433.478994260125,-1099.077823733496,386.99960804012903,82.55606228765572,69.40812424470253,106.81992603553218,621.265615177329,-8.758991017503135,1136.0833308681963,-1931.3761481808137,40537615.96631095,449961.4164502054,2984292.5604525716,13625067.485904425,-20134853.843816556,2462871.6849537585,55683618.90210117,3316997.258906517,-1741031.0235464144,-18625473.901029833,-12378081.602583155,-39088964.124664634,13891435.722921528,-8963096.64905364,12724791.223607965,9981334.389181577,22832592.84087741,-935166.8259620337,216562.05951154648,7211.181590915696,10.430129185640482,342.47961713217944,-333.05498813993506,118.44761472246793,-1488343.9756419747,0.020185299216272785,0.1823132011605981,0.5101786222489696,-182.77980908214724,8571.761636199919,-22654.099580457078,2288.1847817960224,-1658.053711582452,2089258.7170691013,-90767.31889451346,-758400.3856353979,498752.21796214156,-79128855.91291621,-14063104.833379343,-7331365.664219527
-29903.143902921198,7113350.813963611,1235.1792598946467,2844.153958970336,622.3181929246102,125.73184504720706,-36.530889673252304,206.21245494851217,-162.40774260415617,151.06613385097225,-231.5167208299319,1914.7201000629498,-12788457.221024217,-7617.555165531303,9000251.663370065,1190340.599680069,55460481.23291164,1973796.9761669666,49366027.3847166,5945832.696722842,1568522.616889758,28881255.795640074,6151303.519678252,25256461.397553526,8717626.973924622,16657897.123109365,6592024.217025907,11934431.91076623,-7322470.406889333,-1594941.569861457,-127416.69156167319,-27225.96855446569,19.61292426343688,1485.1277062105323,67.64272596054664,392.81985971085464,3274932.331376003,0.11705359342413471,-0.23024625493107648,0.9781804382410701,760.2283168062244,10659.923071104326,543.8046496883862,10677.77439415334,609.3144222426431,111112.50705627112,5938.118856945177,921432.3638144429,1155180.7818841694,50316094.855603114,49173688.39528084,-5124516.090006873
-29730.705637002888,6016550.69306029,1233.5086675073599,3307.4516611812824,620.3709912020984,126.78211872157047,-38.03706629349867,227.5366481642862,-147.3291005801119,154.51752537054537,-211.25932155912136,1942.1517277466385,-12439515.670133661,-13140.582483233404,9235463.39853682,1059622.428212998,54971494.85284196,2069358.569889993,49360028.098641336,5689565.83387164,1613616.9970548123,30324960.439831495,6035003.157253807,25534452.976824135,8563292.721185239,16717034.893355384,7210242.324908281,11966325.641995518,-7070659.297421123,-1591512.9804730157,-129365.22122495415,-27076.946603660304,18.668549449161212,1437.1119925076625,70.95467276804378,412.91780940978765,3261057.522412735,0.11734798522663148,-0.23294947691984852,0.9599206938792759,759.1952613865082,10145.418270115559,616.3103013733298,10975.513616210414,614.1960306462549,103210.24060570495,-16366.49590809243,933711.496248205,1154381.0990997825,50301074.26724371,48792190.901484534,-4987407.961609738
-29670.845397837358,7066800.46057947,1209.1060619809193,3338.24335028726,615.4477668539137,126.85070819764636,-44.04824743926309,226.09462258684317,-107.39686957436777,150.91934601882832,-224.11890237739027,1907.7190924427032,-11716478.444746021,-5339.632777881234,9096464.137836032,1384868.1275569866,54554863.26433059,2015861.8312767555,48217500.89342797,5689303.26836749,1387894.3186049564,29817840.17845121,5757008.9815802965,26347314.74495455,8451934.755628264,16612737.465827452,7405112.263191751,11467043.609762045,-6020010.075296057,-1605212.0900492645,-131089.4424883608,-27009.694602913667,19.980552380431128,1479.075043300145,67.68047378563192,407.2514875390229,3243647.1239504437,0.11845365082419645,-0.2165687382244849,0.958902609760887,765.7633012045483,10533.061065979879,447.33905046127893,11083.264803438196,605.407439069724,131080.86650187024,-8943.861373624517,891004.573973817,1167916.2423761103,49547884.00388709,49997253.6847886,-4245051.833499435
-20368.487313438876,10240466.156562328,-1404.6778062081562,-1009.8522184466001,319.3424841865836,76.48087253596816,58.916103610948646,106.70333602700708,592.4474276629685,-14.580926690133033,1097.2112237128001,-1867.2845465451592,42215657.115165666,423157.3298353522,3455986.7227463694,13928685.96301339,-18348100.02588766,2543195.7622344736,57528860.926055714,4054529.1126962574,-1204949.04875975,-16128346.7953063,-10793640.022996822,-38359097.02245495,14505445.186691996,-8790488.715603607,10873132.96952539,10534151.77665989,24198866.769478414,-846435.7277285991,220282.67502329117,8225.153850483697,12.727008595804474,334.1331774150932,-356.50439248276666,73.2414050459032,-1664658.427690906,0.023854721628517598,0.20266762260305055,0.5546539636577154,-179.8038763609234,9222.165698462744,-22241.597229445044,2278.5078160892463,-1621.006502268966,2242534.6150762667,-84787.72253475683,-721743.2769138432,494561.71328647377,-79035052.14314623,-15626148.539076168,-7955721.479935745
