Destination Port,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Subflow Fwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min
-7523.890635035608,28007593.214326262,-184.29643412426458,2696.258161699795,-942.6086644479751,-122.98202510497592,-508.44387062765225,-583.4373008761594,50.695780105204676,-18.493224446759143,291.9402422163206,459.35262341311164,10307553.543920116,-221180.95195631636,-6029921.599050499,2868751.311783575,107246727.55291824,-1257707.5949168222,-22702791.338302307,1381415.3969818545,24241109.185599204,33723379.988883644,-25931972.374586508,36574352.623275116,21232076.768630374,15074260.407039648,18264608.567097686,-339312.47037351504,-15948431.945227398,-4721464.382146405,134671.25014472756,93267.1504923797,12.62746939946155,2184.6199930853254,71.65443146458834,238.22491733489196,2923067.506821756,0.22747126971321519,0.3513314975367617,-0.31764003506169725,989.6749057785289,-8543.338712429808,40302.15768081042,-14711.112679966112,-109.47438632544575,-218116.06202896364,544494.0223111504,1255627.4891545984,149624.26512153386,76455571.93918999,32279508.58113613,3309331.5013993653
-18118.97945942568,11968369.206249088,-1378.1717948425971,-967.3212901749116,349.8304894851799,80.59082508482146,68.00683339267341,101.25445903896359,602.0668591057381,-12.147326052046353,1195.0344075544538,-1867.507744158865,42517637.993079185,415674.7756978601,2736258.150893845,14252823.618380217,-19212956.001763098,2854306.169909994,59091375.11557415,3328686.9577285605,-1133238.0472652987,-15991903.403672105,-11171987.993843704,-38027717.49702193,14858539.478365036,-8445159.212302316,11590002.886435455,10403574.171426425,24411686.287287284,-836471.6628041827,210065.09937930296,7703.230071751566,12.192439471742958,505.1890344126866,-329.3506956067779,144.32661515509886,-1330693.7900729533,0.015827440009589487,0.2275568663328385,0.543481132120618,-172.58010714990363,8785.963726947484,-23684.435864732335,1901.7647406250658,-1662.2382416889266,2145912.5946883974,-44477.01968097767,-725553.625713361,446789.4630915778,-79538756.58937223,-16413078.47086405,-5023786.966808677
-18403.22869856936,10175826.310937908,-1443.2282980823122,-912.2219657128999,278.3226152219343,77.44996942689937,55.44973894081915,112.77500477451522,555.8214556571963,-7.591781565077433,1121.5126907964914,-1798.214940047505,39853177.574129894,417287.59996355954,2831589.9674389437,14239857.733998049,-20200247.106520407,2563893.061306925,60504361.135588266,3926263.8146644905,-1510823.728960339,-18398332.04588817,-12188762.567457339,-38677135.708611414,15039333.182735229,-9304994.739865966,11249115.350161519,10493149.19428879,25329042.286828846,-981544.1281867314,202218.5385663915,7161.123371707779,11.851578286243617,422.42789087372614,-316.7951495181514,161.02199702892258,-1486194.895607614,0.010772115537735223,0.22199625381751129,0.5940905372846812,-212.07162115549252,8365.628154816406,-22879.422137980815,1469.4043303666472,-1676.9764083895907,2092159.9889381987,-78982.4874528015,-713372.5198576095,445793.70833298785,-79560100.55312201,-16100359.613028206,-7209419.158132182
-17212.694886944617,12574922.49333489,-1448.4191300931823,-1016.645568266154,370.277798630902,82.92181165037539,60.41256119882611,111.5849789071516,718.6372612835646,-15.377402832040211,1108.5126176313727,-1847.789337891113,40864062.3675789,423882.916754075,3486794.0840016967,13828220.72339817,-19653899.424171574,2506309.0388517394,58441057.189428695,4060090.3201573845,-2047758.5492718015,-18965034.158766285,-11650658.92872385,-38116408.65590518,13979711.660339259,-9090389.040417705,11927686.420104425,11122130.924031638,25399149.48023217,-862787.0242712287,195474.93168896085,7908.659447474579,12.457439393652221,257.0927882328191,-329.9360215252416,160.67751054125958,-1337524.5108324932,0.031603923006487206,0.24134451917300062,0.5526295646894777,-161.70791973885835,10020.877059328302,-22290.572087997283,2749.6556970421425,-1689.0908214991036,2084195.6025137592,-100931.16919325296,-687140.194313668,521132.7631952418,-78105943.22328584,-15591789.802564643,-7440150.678139977
-7317.454595046003,28819033.46948172,-180.9986784089662,2643.669838457732,-957.4518161994617,-126.73861430379785,-518.9517513633143,-596.8024667363643,60.20604186931712,-16.758045231539676,299.9078704841704,446.5759046790661,12171116.874675626,-223345.22331616038,-5926155.202619693,2816022.3662533173,107158168.15071037,-1271816.284868071,-22510891.982398063,1268544.8191987865,24157410.775388088,33616130.45092803,-25745888.224762294,36888596.0458575,21193807.017878182,15127900.508214062,18433872.90267662,-756662.7129330053,-15944737.887051294,-4747713.074269885,136278.46784804907,92612.73348711318,12.364414298198435,2127.0475263046787,79.45180929454031,260.8517488934485,2826518.72497225,0.2243235205903252,0.3410437834945934,-0.30984725377606914,998.1724502046675,-8527.032290324614,40753.4848599606,-14693.802764882921,-86.76877757064125,-169214.26003075787,533169.5931803123,1287044.8207630136,164272.4639678346,75614880.8044894,32738247.749061983,2444622.4110701764
-19480.354413953944,12534789.609056583,-1437.0728289391493,-2059.714489146154,326.86683673597616,76.92690324413189,60.18935530551233,99.57372237454709,515.6244439349523,-14.593190908890826,1153.7154639755433,-1862.7772644271809,40730217.85011173,422162.3782241097,3462110.7277881,13919878.037033256,-19532252.875893913,2552957.994337635,56778777.403819874,3374128.016403416,-2119155.596313538,-18831054.816195786,-13012954.854313621,-40048919.203019775,14757015.298951618,-8588399.903985314,11858474.754006926,10186840.885558777,25183246.207860295,-887041.3104079267,219761.24036864084,7404.508548431319,11.61331383948233,494.68053215630835,-336.55545115497887,116.52946462821868,-1308445.0428334717,0.005503781547382174,0.21112342032573297,0.534008346678565,-204.42411305690362,10453.856723814082,-22293.83132361163,1690.463093331387,-1626.2688369585821,2232193.7563410364,-110858.88741143838,-785408.9598187315,482294.34474074084,-79344829.19061393,-16251947.618529916,-9383347.216217937
-7327.887205399007,28579964.45400927,-169.56074709952912,2723.4033495418653,-930.225463988731,-124.49224700478982,-517.6262651082772,-594.395379969975,-1.2971614970856535,-18.679421273502776,297.90536953728815,460.09425009283376,11003143.516803376,-216280.81892085186,-5831309.54052956,2755271.8681653,107285136.27547587,-1241002.009611123,-23122239.994750522,873158.0622958909,23700728.79108283,34225818.6502577,-25800055.611136694,36744751.92847498,21206038.58732763,15033053.760699794,18553595.735437803,-404849.55639532325,-16658904.12518669,-4750387.969339274,135384.3395241048,93324.77626761803,12.02625595804935,2086.095072723816,82.99785579339832,225.62252985002533,2843396.8747635907,0.22394296129796684,0.36058831243648637,-0.31027421768945473,997.9739568646381,-8774.094173255418,40290.913716570096,-14565.895607250668,-99.81177972126761,-194347.80710169266,518817.73545199924,1305827.1430679408,160923.433422321,75682095.09536506,31777101.365766928,2881143.4720397415
-8121.973425947504,28173641.287383772,-217.2554584318833,2496.3563325648274,-967.1400485236218,-126.46092633446722,-515.791761304311,-594.2278276163398,-42.65076095840345,-16.570236552901925,279.30292567361033,435.9544202652922,11010143.802971996,-222426.13723457255,-6009271.66919236,2611843.087472648,107637788.64065194,-1236073.5091201316,-23047083.31525185,1125176.6383392347,24281890.435629584,33626772.78502456,-25926107.92702666,37435281.33108751,21064313.271292906,15039931.809610128,18348171.10281881,-410950.3272924337,-15550492.040077196,-4753489.008744244,138460.7109529281,92019.90828781991,12.552083386040277,2074.4763987363904,73.46247980534528,238.23419352622975,2860472.7668016492,0.22236026429281874,0.3514847408336909,-0.30973365979574474,1005.7863389717043,-8589.832282725834,40685.75952843365,-14775.913195683026,-86.7821426555773,-209041.43419014206,535317.246707818,1320326.5099011199,151198.32039384663,75447800.17719308,33112165.57815143,2539465.506737724
-19311.175676437422,11619601.201167278,-1412.168209697072,-1297.5424956552192,350.3230154067864,78.40648862786475,59.06739372895025,127.93999577020818,495.2629438795153,-13.344134461084884,1117.14740662547,-1898.4911846564473,39727840.44443721,409042.34454174014,2616941.4750024728,14290794.256480295,-17279989.87058314,2679917.5287244604,57212559.231760785,3836723.401456842,-1379878.2907597963,-15699967.73458798,-11783627.606173147,-39614919.06578983,14327822.608502457,-9609757.87118112,12693565.957130495,10666630.413220083,24463118.644096423,-917229.2595938384,199626.72287164957,6421.142599295811,12.594333020210906,442.6634848424328,-364.19300227021233,119.85700449329352,-1502652.3401140617,0.029101829220233865,0.22499167661948313,0.5486412374128748,-190.7926275046573,9619.31034958091,-22172.6111860032,2364.436279642725,-1642.2326082560903,2230174.1055469946,-55073.3453110525,-840968.8382243767,516322.7269401074,-78412377.92975093,-15588350.136061557,-5425151.309169494
-18121.60472270942,14668821.901610151,-1451.0138982940693,-1637.6606589158853,301.68634634604837,79.6815106458238,78.49373339215019,127.5711634489556,524.3565364728108,-13.824576512988045,1143.7241175150307,-1885.467644821546,43818242.336404584,425136.8271451152,3325804.2487203493,14122824.848703437,-17040587.81161505,2379647.742675576,58518999.762005426,3848351.335011737,-1167812.0335744806,-19972128.846084476,-11906325.55913755,-35851305.727161236,14456869.259439759,-9519833.651781602,11003243.77302875,9901736.18565953,25786203.598737005,-921989.6061079105,222286.26624087515,8389.19825350456,14.093887845110867,382.57261565810654,-326.974239024074,110.66895771524602,-1702989.7392098773,0.027318859408147024,0.18524829999552622,0.5027912829202087,-190.12427201525523,9970.78653903814,-21180.537829338777,1109.030234431917,-1638.9964327796456,2206133.232513995,-95661.09888655595,-774375.5866604276,489133.01818636514,-81181344.15146723,-16609253.13484915,-6029254.328062486
-7549.173926601625,29161662.775895428,-185.0238277472549,2497.34041665898,-938.5314609960683,-124.62656373165024,-511.39273701384354,-601.1216709481303,0.4872214084381312,-15.109587334223065,259.0025540845717,443.2732662843884,11608011.725088913,-222540.65697772137,-5901641.622340863,2593720.7527711517,107870419.06709327,-1331829.949652692,-22629096.457427777,1098393.6599555355,23833128.496304166,32964930.201992474,-25741646.074719332,37371582.289155364,21810039.3325568,14764956.623049412,18752298.010677993,-529615.1174105622,-16050332.700273847,-4737232.724470987,136711.22341872533,93420.14885201413,11.691457410951838,2098.37334235691,83.00039139201974,241.66160194692094,2878273.858646645,0.22110751854965635,0.35375631267306096,-0.30953366474894406,995.1911306056874,-8900.597465486033,40466.28585815222,-14590.31771107307,-104.48470400937514,-152859.6113308087,511527.95070132794,1300398.8216133837,152431.94611725153,75807094.09023774,32877047.262075786,2427719.8886396196
-18567.146623892604,10892957.603847638,-1441.7621952847549,-2274.733038619397,330.2174040073497,77.1726426766837,55.41075551052909,118.21083481906047,625.1325824406528,-5.994650768460247,1157.0120046282273,-1904.6422961115545,40945849.22916768,411121.30211715697,3199312.4495841316,14829754.317716127,-16187095.513301527,2577495.2314607757,58334398.05750366,4328250.164617197,-1981047.679458877,-20156835.947397545,-12136649.056828884,-36970962.75909252,14691281.548016686,-8979896.234649928,11304268.90724608,10067262.702718163,26325433.27375883,-889156.5473107441,229548.33636230548,10436.236563308543,12.352708060088553,489.7061441339305,-384.8436832154416,109.04105410403571,-1435444.4138716175,0.02096314679677949,0.2513661706987012,0.548946627169354,-184.18278768513287,9188.405428615217,-21986.719281270827,1897.5332904214326,-1662.5706069625887,2137269.4468449913,-80131.09104493457,-636025.4415264066,456581.17504128156,-79009414.2247099,-16776320.781534575,-6676053.475525565
-19525.470787422622,9912661.574965548,-1400.8863284556437,-629.8751123119648,251.73410748591866,81.34483366793918,59.34729257205703,90.6940222620748,534.5864317486886,-14.36936882223474,1149.663293744845,-1869.0170169617586,41057994.416491725,413815.6389996601,3257560.8983538,14338557.302607588,-19929952.280885063,2580382.655375623,57804480.589415334,4672669.032338286,-1480538.5377997449,-16406645.31588445,-12690648.7901762,-37647169.88934031,13876039.778678842,-8843632.6076294,11402020.23087138,11141400.798305098,24752203.76224331,-862894.5746412346,215903.57526144452,9889.907066987447,14.631985087648657,322.5947429831932,-339.0393402346383,45.38128983729467,-1407561.5785060702,0.023221147546878797,0.19139598957028114,0.5906741073364228,-200.23061588443434,8506.861858924865,-23129.2169689012,2450.5752507968327,-1669.3062024989267,2198928.0977912433,-86585.71434123722,-751070.1262397955,520080.3159208971,-77540540.82493109,-14930982.241078675,-4748528.670856208
-7458.542022354677,29144950.912349835,-218.0441584788773,2445.3470875653206,-951.7894975430563,-123.54815812454777,-512.5620470844106,-590.6647316629708,29.313759670901504,-14.821647230297671,307.3966322514587,462.0941845309575,11182273.869097214,-216610.81797786593,-5798409.361369882,2527525.705099766,106714052.32860933,-1361368.9621726184,-22627176.801869273,737551.7988086245,24185006.160715926,35114913.99771518,-25518149.16502342,36872919.96628782,21444798.92738932,15001538.621970935,18423208.72762572,-172144.67008365435,-16448594.604128296,-4788701.005421289,130906.95993310944,93355.0630050493,13.2529398424994,2169.1226981780496,61.313305190729295,244.8654516018105,2878584.493686179,0.23240845848366695,0.3451521311722637,-0.31563809301170664,993.6165511860772,-8452.716604611662,40763.99780817139,-14910.85708763782,-110.33436364248409,-195114.8193813509,541354.6623747573,1251203.971424916,151254.38437022708,75399878.08964601,32359921.04654295,2522455.3612068137
-7041.8248430676285,28153989.46962192,-216.16879962670092,2822.288868059365,-934.6510105549685,-123.83560062543037,-509.26338412801726,-593.0390946416203,-50.3205721999426,-16.6052501475112,277.579862966837,462.0774209613062,10729417.985092986,-226411.85301104753,-5997474.885493342,2737699.2155099586,108383065.94109192,-1345705.6419718696,-23407269.37143196,1266053.5521743572,24017014.40919162,33203999.513426878,-25899115.107641604,37157171.013512656,21265938.615737066,15035844.325566348,17867291.272727203,-560633.1700774296,-16462936.469117144,-4796244.928016283,131051.03485386027,93441.87010402503,13.023574840882603,2071.824856537184,78.78320562221079,258.26026476787155,2844652.4529720605,0.2202927496064702,0.3369875636907171,-0.32755024959756396,999.4437160985159,-8254.04713527976,40844.47495011744,-14571.429349527078,-102.28653962565863,-211709.53038743377,527054.3535021547,1300210.0599761135,173646.61564363464,74876033.95265365,31483373.034502283,2334133.1047950676
-18228.732585595968,14437647.568150189,-1481.1833402661894,-1877.8110209504632,323.91280888719007,73.53549106816594,69.22319135589645,117.10038549215778,392.4632597764455,-15.482933351713193,1174.9443727299372,-1767.5560222194572,43701990.13972609,420348.78337788366,2607362.9062603125,13961309.79686747,-19529556.39028898,2384091.362271778,59232257.17296835,3471265.9986091787,-1934871.808682044,-18901586.48660391,-11994530.732206115,-36579095.38243251,15110577.773034306,-8313864.5861573685,10324904.92405274,10169111.491223909,25306559.686031684,-963400.7724673955,200286.27489770856,8342.956723671716,14.49318673180026,324.8891757167771,-332.9989095722892,106.37918057795292,-1492791.1189836804,0.03825918803765435,0.22495803689286975,0.5479541003471301,-182.13632198872043,9179.76266773405,-22240.234417820328,2068.8611997827506,-1619.8493129577514,2202731.600267685,-128754.26929725568,-782098.2978204224,500975.9112985907,-77595924.12206887,-13376708.378140707,-8961548.930200512
-8131.405497334741,28450599.506510306,-212.96790263790788,2591.622748756263,-947.5290529894021,-123.41633924021156,-511.658839519618,-594.5448090992663,61.91673790109314,-15.779898658428479,303.50002266141473,429.5318936792875,9998846.889653109,-217167.18098316685,-5944731.153917327,2833893.2891096324,107500940.19362524,-1396180.8136529145,-22413792.96008832,1014118.8741277473,23988029.38436239,34296852.74582598,-25897345.02643051,37477478.20704134,21421637.333701007,14910464.819376579,17548072.680026397,-434376.1912501622,-15319478.766508138,-4800573.005297319,132738.3396349826,92619.03040096603,12.324427524360328,2131.213506282934,82.90542060420474,240.03437093719748,2882905.4788512085,0.22460501019151613,0.338704679409743,-0.31387236229234683,995.1977534751777,-8892.838829589598,40885.59680567922,-14674.053912972262,-124.34488670970934,-217996.5085866646,548688.4491905014,1275466.4876885181,151392.41608648794,76370978.39231545,31854505.401453793,3152691.175797932
-18459.093486408703,6800672.922419418,-1439.0666239667873,-1029.2443475177042,362.85030027266555,75.96876509985668,32.46978799124717,119.26575621255961,621.454476995629,-15.493019096104021,1134.1896511719767,-1847.1948664018723,42511840.63602206,432542.76528753905,3154775.201774847,13806166.26725532,-18128899.366137274,2594842.794806731,56840085.18180836,3268555.053811828,-751712.5577083733,-18352085.263278745,-10825994.190413129,-39855305.17056656,15882035.683478314,-8366775.417730181,11498240.093365282,9787223.606644493,24723551.92051663,-1031758.6062878409,198561.97883100974,10377.077161996212,14.426325623693305,387.11214380375566,-309.3406458600913,169.0361201855969,-1415792.7643495281,0.029872003807965116,0.1985080317839167,0.5624830358889065,-190.13147240481484,8909.794117927715,-21991.169360549433,2105.754834950944,-1599.8602924865038,2159927.5661831074,-63183.2715317431,-716331.3902134374,461756.69382246595,-76510078.44263007,-14994474.358335957,-6015278.142144829
